frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0004,1.1875,842.11,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
1,0.0018,1.3992,714.69,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
2,0.0029,1.0691,935.37,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
3,0.0039,1.0595,943.84,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
4,0.0050,1.1078,902.69,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
5,0.0061,1.0432,958.59,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
6,0.0071,1.0452,956.76,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
7,0.0082,1.0468,955.29,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
8,0.0093,1.0934,914.58,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
9,0.0103,1.0464,955.66,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
10,0.0114,1.0585,944.73,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
11,0.0124,1.0226,977.90,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
12,0.0138,1.2351,809.65,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
13,0.0149,1.2329,811.10,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
14,0.0159,1.0551,947.78,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
15,0.0169,1.0019,998.10,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
16,0.0179,1.0067,993.34,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
17,0.0189,1.0066,993.45,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
18,0.0200,1.0977,911.00,61,61,39,214134,158181,1204,16932864,788442476,0.0133,-1.0000
19,0.0211,1.0327,968.33,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
20,0.0220,0.9791,1021.34,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
21,0.0230,0.9830,1017.29,61,61,39,214134,158181,1204,16932864,788442476,0.0133,-1.0000
22,0.0242,1.2010,832.64,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
23,0.0253,1.1051,904.90,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
24,0.0265,1.0774,928.16,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
25,0.0276,1.1477,871.30,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
26,0.0286,1.0365,964.79,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
27,0.0297,1.0614,942.15,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
28,0.0307,1.0193,981.06,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
29,0.0317,0.9857,1014.51,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
30,0.0326,0.9721,1028.70,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
31,0.0337,0.9815,1018.85,61,61,39,214134,158181,1204,16932864,788344172,0.0133,-1.0000
32,0.0348,1.1663,857.41,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
33,0.0358,1.0115,988.63,61,61,39,214134,158181,1204,16932864,788426092,0.0133,-1.0000
34,0.0368,0.9993,1000.70,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
35,0.0378,1.0115,988.63,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
36,0.0388,1.0090,991.08,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
37,0.0398,1.0186,981.74,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
38,0.0409,1.0324,968.62,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
39,0.0420,1.0931,914.83,61,61,39,214134,158181,1204,16932864,788508012,0.0133,-1.0000
