frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0001,1.4572,686.25,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
1,0.0014,1.2816,780.27,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
2,0.0026,1.1869,842.53,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
3,0.0038,1.2035,830.91,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
4,0.0051,1.2009,832.71,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
5,0.0064,1.4073,710.58,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
6,0.0075,1.1512,868.66,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
7,0.0086,1.1004,908.76,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
8,0.0098,1.1834,845.02,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
9,0.0111,1.1391,877.88,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
10,0.0123,1.3561,737.41,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
11,0.0136,1.1554,865.50,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
12,0.0148,1.3204,757.35,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
13,0.0160,1.2362,808.93,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
14,0.0172,1.2076,828.09,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
15,0.0185,1.1345,881.44,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
16,0.0196,1.2310,812.35,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
17,0.0213,1.6093,621.39,88,88,50,428199,316203,1204,30785536,839037292,0.0000,-1.0000
18,0.0228,1.5346,651.63,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
19,0.0239,1.1806,847.03,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
20,0.0252,1.1305,884.57,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
21,0.0264,1.3600,735.29,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
22,0.0276,1.1688,855.58,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
23,0.0288,1.2103,826.24,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
24,0.0301,1.3101,763.30,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
25,0.0314,1.3306,751.54,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
26,0.0327,1.1794,847.89,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
27,0.0342,1.6252,615.31,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
28,0.0354,1.1450,873.36,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
29,0.0365,1.1049,905.06,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
30,0.0375,1.0383,963.11,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
31,0.0388,1.1466,872.14,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
32,0.0399,1.2919,774.05,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
33,0.0414,1.3684,730.78,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
34,0.0427,1.3447,743.66,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
35,0.0437,1.0859,920.90,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
36,0.0448,1.0494,952.92,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
37,0.0463,1.1371,879.43,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
38,0.0479,1.9117,523.09,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
39,0.0495,1.5851,630.87,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
40,0.0507,1.2767,783.27,88,88,50,428199,316203,1204,30785536,839119212,0.0000,-1.0000
41,0.0522,1.2339,810.44,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
42,0.0533,1.3492,741.18,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
43,0.0546,1.3258,754.27,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
44,0.0558,1.2304,812.74,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
45,0.0570,1.1325,883.00,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
46,0.0583,1.1677,856.38,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
47,0.0595,1.3156,760.11,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
48,0.0606,1.1679,856.24,87,87,50,428198,316200,1204,30785536,839184748,0.0000,-1.0000
49,0.0619,1.2509,799.42,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
50,0.0633,1.4375,695.65,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
51,0.0645,1.2106,826.04,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
52,0.0658,1.1512,868.66,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
53,0.0669,1.2392,806.97,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
54,0.0680,1.1123,899.04,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
55,0.0695,1.4681,681.15,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
56,0.0707,1.1949,836.89,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
57,0.0718,1.1021,907.36,87,88,50,428198,316203,1204,30785536,839184748,0.0000,-1.0000
58,0.0732,1.1041,905.71,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
59,0.0744,1.4885,671.82,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
60,0.0756,1.1779,848.97,88,88,50,428199,316203,1204,30785536,839102828,0.0000,-1.0000
61,0.0772,1.3274,753.35,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
62,0.0785,1.4909,670.74,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
63,0.0797,1.2935,773.10,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
64,0.0809,1.1844,844.31,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
65,0.0820,1.1549,865.88,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
66,0.0835,1.2252,816.19,88,88,50,428199,316203,1204,30785536,839184748,0.0000,-1.0000
