frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0008,1.1148,897.02,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
1,0.0020,1.1187,893.89,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
2,0.0031,1.1372,879.36,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
3,0.0042,1.0687,935.72,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
4,0.0052,1.0755,929.80,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
5,0.0063,1.0949,913.33,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
6,0.0074,1.0632,940.56,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
7,0.0084,1.0193,981.06,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
8,0.0095,1.0325,968.53,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
9,0.0106,1.0892,918.10,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
10,0.0117,1.2101,826.38,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
11,0.0128,1.0613,942.24,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
12,0.0139,1.0662,937.91,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
13,0.0150,1.0776,927.99,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
14,0.0161,1.1365,879.89,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
15,0.0171,1.0309,970.03,60,60,39,189011,132929,1204,43823104,815458776,0.0000,-1.0000
16,0.0181,1.0337,967.40,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
17,0.0192,1.0657,938.35,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
18,0.0202,1.0264,974.28,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
19,0.0212,1.0344,966.74,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
20,0.0223,1.0556,947.33,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
21,0.0234,1.0523,950.30,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
22,0.0244,1.0510,951.48,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
23,0.0255,1.0503,952.11,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
24,0.0266,1.0815,924.64,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
25,0.0276,1.0410,960.61,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
26,0.0286,1.0544,948.41,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
27,0.0296,0.9845,1015.74,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
28,0.0308,1.0614,942.15,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
29,0.0319,1.2384,807.49,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
30,0.0330,1.0593,944.02,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
31,0.0341,1.1104,900.57,61,61,40,189023,132953,1204,43823104,815458776,0.0000,-1.0000
