frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0007,1.0075,992.56,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
1,0.0017,1.0075,992.55,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
2,0.0027,1.0242,976.37,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
3,0.0037,0.9958,1004.22,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
4,0.0047,1.0081,991.97,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
5,0.0058,1.0468,955.30,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
6,0.0069,1.1829,845.38,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
7,0.0079,1.0098,990.30,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
8,0.0089,0.9850,1015.23,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
9,0.0099,1.0267,973.99,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
10,0.0110,1.0687,935.72,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
11,0.0121,1.0336,967.49,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
12,0.0130,0.9869,1013.28,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
13,0.0141,1.0028,997.21,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
14,0.0153,1.2586,794.53,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
15,0.0163,0.9938,1006.24,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
16,0.0173,1.0219,978.57,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
17,0.0183,1.0018,998.20,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
18,0.0193,1.0279,972.86,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
19,0.0204,1.0232,977.33,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
20,0.0214,0.9969,1003.11,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
21,0.0224,1.0600,943.39,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
22,0.0234,1.0046,995.42,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
23,0.0245,1.0774,928.16,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
24,0.0256,1.0988,910.08,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
25,0.0267,1.0648,939.14,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
26,0.0277,1.0432,958.59,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
27,0.0287,1.0186,981.74,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
28,0.0299,1.1364,879.97,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
29,0.0309,1.0928,915.08,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
30,0.0320,1.0769,928.59,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
31,0.0331,1.0774,928.16,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
32,0.0342,0.9995,1000.50,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
33,0.0354,1.2443,803.67,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
34,0.0365,1.1020,907.44,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
35,0.0375,1.0088,991.28,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
36,0.0385,1.0562,946.79,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
37,0.0396,1.0236,976.95,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
38,0.0406,1.0820,924.21,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
39,0.0417,1.1153,896.62,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
40,0.0428,1.0987,910.17,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
41,0.0438,1.0061,993.94,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
42,0.0450,1.1180,894.46,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
43,0.0462,1.1817,846.24,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
44,0.0472,1.0967,911.83,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
45,0.0484,1.1947,837.03,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
46,0.0495,1.1005,908.68,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
47,0.0505,0.9965,1003.51,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
48,0.0516,1.0235,977.04,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
49,0.0526,1.0807,925.32,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
50,0.0538,1.0285,972.29,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
51,0.0548,1.1454,873.06,58,58,39,147180,106218,1204,40665088,814337132,0.0000,-1.0000
