frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0001,0.9720,1028.80,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
1,0.0014,1.3207,757.18,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
2,0.0024,1.0279,972.86,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
3,0.0034,1.0310,969.93,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
4,0.0044,0.9811,1019.26,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
5,0.0054,0.9798,1020.62,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
6,0.0064,0.9702,1030.71,58,58,39,147168,106194,1204,14610432,786103404,0.0132,-1.0000
7,0.0075,1.0996,909.42,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
8,0.0085,1.0481,954.11,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
9,0.0095,0.9996,1000.40,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
10,0.0107,1.0557,947.24,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
11,0.0117,1.1246,889.20,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
12,0.0127,1.0155,984.74,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
13,0.0138,1.0418,959.88,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
14,0.0148,0.9783,1022.19,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
15,0.0158,1.0345,966.65,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
16,0.0168,1.0248,975.80,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
17,0.0178,1.0254,975.23,58,58,39,147168,106194,1204,14610432,786119788,0.0132,-1.0000
18,0.0189,1.0894,917.94,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
19,0.0199,1.0102,989.90,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
20,0.0210,1.0357,965.53,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
21,0.0220,1.0121,988.05,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
22,0.0230,0.9885,1011.63,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
23,0.0239,0.9839,1016.36,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
24,0.0249,0.9734,1027.33,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
25,0.0259,1.0179,982.42,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
26,0.0270,1.0747,930.50,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
27,0.0280,1.0313,969.64,58,58,39,147168,106194,1204,14610432,786119788,0.0132,-1.0000
28,0.0290,0.9840,1016.26,58,58,39,147168,106194,1204,14610432,786119788,0.0132,-1.0000
29,0.0302,1.0782,927.48,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
30,0.0313,1.1735,852.15,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
31,0.0324,1.1099,900.98,58,58,39,147168,106194,1204,14610432,786185324,0.0132,-1.0000
