frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0007,1.0182,982.13,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
1,0.0018,1.0068,993.24,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
2,0.0030,1.1399,877.27,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
3,0.0042,1.2401,806.39,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
4,0.0055,1.3176,758.96,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
5,0.0067,1.1895,840.69,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
6,0.0078,1.1326,882.93,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
7,0.0089,1.0975,911.16,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
8,0.0101,1.2358,809.19,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
9,0.0112,1.1031,906.53,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
10,0.0125,1.2580,794.91,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
11,0.0136,1.0732,931.79,64,61,40,214186,158285,1204,56975360,828596884,0.0000,-1.0000
12,0.0147,1.1636,859.40,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
13,0.0157,1.0524,950.21,64,62,40,214198,158309,1204,56975360,828531348,0.0000,-1.0000
14,0.0168,1.0511,951.39,64,62,40,214198,158309,1204,56975360,828514964,0.0000,-1.0000
15,0.0181,1.3404,746.05,64,62,40,214198,158309,1204,56975360,828514964,0.0000,-1.0000
16,0.0192,1.0552,947.69,64,61,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
17,0.0204,1.1444,873.82,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
18,0.0214,1.0416,960.07,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
19,0.0225,1.0292,971.63,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
20,0.0237,1.2316,811.95,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
21,0.0248,1.1311,884.09,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
22,0.0259,1.0642,939.67,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
23,0.0270,1.1873,842.25,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
24,0.0281,1.0601,943.31,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
25,0.0292,1.1020,907.44,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
26,0.0303,1.0945,913.66,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
27,0.0314,1.0787,927.04,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
28,0.0325,1.1228,890.63,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
29,0.0336,1.0413,960.34,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
30,0.0347,1.1872,842.32,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
31,0.0359,1.2373,808.21,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
32,0.0372,1.2331,810.96,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
33,0.0385,1.2324,811.43,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
34,0.0396,1.1528,867.45,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
35,0.0407,1.1165,895.65,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
36,0.0418,1.1037,906.04,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
37,0.0430,1.0350,966.18,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
38,0.0441,1.2090,827.13,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
39,0.0451,1.0701,934.49,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
40,0.0461,1.0522,950.39,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
41,0.0472,1.0426,959.14,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
42,0.0482,1.0336,967.50,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
43,0.0494,1.1949,836.89,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
44,0.0505,1.0225,978.00,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
45,0.0518,1.2917,774.17,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
46,0.0530,1.2283,814.14,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
47,0.0540,1.0330,968.05,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
48,0.0551,1.0254,975.23,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
49,0.0561,1.0744,930.75,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
50,0.0572,1.0572,945.90,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
51,0.0582,1.0766,928.85,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
52,0.0593,1.0466,955.48,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
53,0.0604,1.1632,859.70,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
54,0.0615,1.0385,962.93,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
55,0.0626,1.0247,975.89,64,62,40,214198,158309,1204,56975360,828596884,0.0000,-1.0000
