frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0007,1.0764,929.03,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
1,0.0019,1.1908,839.77,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
2,0.0031,1.1529,867.38,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
3,0.0042,1.0928,915.08,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
4,0.0052,1.0317,969.27,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
5,0.0062,1.0554,947.51,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
6,0.0073,1.0901,917.35,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
7,0.0084,1.0691,935.37,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
8,0.0095,1.0724,932.49,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
9,0.0108,1.1593,862.59,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
10,0.0121,1.3127,761.79,64,62,40,214206,158325,1204,56975360,828531092,0.0000,-1.0000
11,0.0133,1.3384,747.16,64,62,40,214206,158325,1204,56975360,828531092,0.0000,-1.0000
12,0.0144,1.1640,859.10,64,62,40,214206,158325,1204,56975360,828531092,0.0000,-1.0000
13,0.0156,1.1381,878.66,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
14,0.0167,1.1346,881.37,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
15,0.0178,1.0688,935.63,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
16,0.0189,1.1454,873.06,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
17,0.0200,1.1203,892.62,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
18,0.0211,1.0652,938.79,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
19,0.0222,1.1127,898.72,61,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
20,0.0235,1.2834,779.18,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
21,0.0247,1.2122,824.94,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
22,0.0258,1.1433,874.66,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
23,0.0271,1.2379,807.82,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
24,0.0284,1.3162,759.76,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
25,0.0295,1.1346,881.37,64,61,40,214205,158322,1204,56975360,828596628,0.0000,-1.0000
26,0.0307,1.1184,894.14,64,61,40,214206,158195,1204,56975360,828596628,0.0000,-1.0000
27,0.0319,1.0794,926.44,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
28,0.0333,1.5916,628.30,64,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
29,0.0344,1.0949,913.33,64,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
30,0.0357,1.2611,792.96,64,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
31,0.0368,1.1309,884.25,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
32,0.0379,1.1031,906.53,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
33,0.0390,1.0733,931.71,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
34,0.0400,1.0598,943.57,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
35,0.0411,1.0314,969.56,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
36,0.0422,1.1247,889.12,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
37,0.0434,1.2164,822.10,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
38,0.0446,1.1836,844.88,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
39,0.0457,1.0972,911.41,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
40,0.0469,1.1943,837.31,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
41,0.0481,1.1949,836.89,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
42,0.0492,1.0732,931.79,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
43,0.0503,1.1396,877.50,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
44,0.0515,1.0659,938.17,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
45,0.0525,1.1552,865.66,64,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
46,0.0537,1.1195,893.25,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
47,0.0547,1.1019,907.52,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
48,0.0559,1.1462,872.45,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
49,0.0570,1.0758,929.54,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
50,0.0580,1.0622,941.44,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
51,0.0591,1.0438,958.04,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
52,0.0603,1.2219,818.40,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
53,0.0614,1.1189,893.74,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
54,0.0625,1.0583,944.91,64,62,40,214206,158325,1204,56975360,828514708,0.0000,-1.0000
55,0.0637,1.2171,821.63,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
56,0.0648,1.0691,935.37,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
57,0.0659,1.0985,910.33,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
58,0.0669,1.0444,957.49,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
59,0.0680,1.0430,958.77,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
60,0.0690,1.0213,979.14,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
61,0.0700,1.0513,951.20,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
62,0.0712,1.0292,971.63,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
63,0.0722,1.1261,888.02,64,60,40,214205,158322,1204,56975360,828596628,0.0000,-1.0000
64,0.0732,1.0565,946.52,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
65,0.0742,1.0216,978.86,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
66,0.0754,1.1978,834.86,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
67,0.0768,1.3298,751.99,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
68,0.0782,1.4613,684.32,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
69,0.0794,1.1907,839.85,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
70,0.0806,1.1198,893.01,64,62,40,214206,158325,1204,56975360,828596628,0.0000,-1.0000
