frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0000,1.2206,819.27,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
1,0.0010,1.0069,993.15,61,61,39,214146,158205,1204,40198144,811625836,0.0000,-1.0000
2,0.0025,1.4702,680.18,61,61,39,214146,158205,1204,40198144,811543916,0.0000,-1.0000
3,0.0035,1.0196,980.78,61,61,39,214146,158205,1204,40198144,811707756,0.0000,-1.0000
4,0.0045,1.0113,988.83,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
5,0.0055,0.9933,1006.74,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
6,0.0065,0.9899,1010.21,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
7,0.0075,0.9697,1031.25,61,61,39,214146,158205,1204,40198144,811691372,0.0000,-1.0000
8,0.0087,1.1711,853.90,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
9,0.0097,1.0238,976.75,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
10,0.0107,1.0017,998.30,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
11,0.0117,1.0579,945.27,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
12,0.0128,0.9837,1016.57,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
13,0.0139,1.2091,827.06,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
14,0.0150,1.0944,913.74,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
15,0.0160,0.9929,1007.15,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
16,0.0170,0.9710,1029.86,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
17,0.0180,0.9906,1009.49,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
18,0.0190,0.9847,1015.54,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
19,0.0199,0.9714,1029.44,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
20,0.0209,0.9702,1030.71,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
21,0.0222,1.3000,769.23,61,61,39,214146,158205,1204,40198144,811625836,0.0000,-1.0000
22,0.0232,1.0253,975.33,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
23,0.0243,1.0300,970.87,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
24,0.0253,0.9889,1011.23,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
25,0.0262,0.9685,1032.52,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
26,0.0272,0.9750,1025.64,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
27,0.0282,1.0268,973.90,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
28,0.0292,1.0058,994.24,61,61,39,214146,158205,1204,40198144,811691372,0.0000,-1.0000
29,0.0303,1.1047,905.22,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
30,0.0314,1.0221,978.38,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
31,0.0326,1.1175,894.85,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
32,0.0336,1.1460,872.60,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
33,0.0347,1.0314,969.55,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
34,0.0356,0.9696,1031.35,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
35,0.0366,0.9846,1015.65,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
36,0.0376,0.9754,1025.22,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
37,0.0386,1.0322,968.80,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
38,0.0396,1.0208,979.63,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
39,0.0406,1.0119,988.24,61,61,39,214146,158205,1204,40198144,811773292,0.0000,-1.0000
40,0.0416,0.9815,1018.84,61,61,39,214146,158205,1204,40198144,811707756,0.0000,-1.0000
