frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0003,1.1130,898.47,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
1,0.0013,0.9992,1000.80,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
2,0.0023,1.0600,943.40,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
3,0.0034,1.0509,951.57,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
4,0.0044,1.0003,999.70,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
5,0.0056,1.1277,886.76,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
6,0.0067,1.1815,846.38,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
7,0.0078,1.0475,954.65,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
8,0.0088,1.0059,994.14,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
9,0.0098,1.0503,952.10,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
10,0.0109,1.0348,966.37,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
11,0.0118,0.9782,1022.29,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
12,0.0130,1.1219,891.34,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
13,0.0140,1.0352,966.00,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
14,0.0150,1.0143,985.90,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
15,0.0161,1.0656,938.44,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
16,0.0171,0.9853,1014.92,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
17,0.0182,1.1100,900.90,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
18,0.0194,1.1348,881.21,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
19,0.0205,1.1844,844.31,61,61,38,214146,158205,1204,56975360,828550508,0.0000,-1.0000
20,0.0216,1.1325,883.00,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
21,0.0228,1.1598,862.22,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
22,0.0238,1.0637,940.11,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
23,0.0248,0.9941,1005.94,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
24,0.0260,1.1382,878.58,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
25,0.0269,0.9845,1015.75,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
26,0.0279,0.9751,1025.53,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
27,0.0290,1.0679,936.42,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
28,0.0300,1.0003,999.70,61,61,39,214145,158205,1204,56975360,828550508,0.0000,-1.0000
29,0.0310,0.9981,1001.90,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
30,0.0321,1.0698,934.76,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
31,0.0331,1.0449,957.03,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
32,0.0341,1.0367,964.60,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
33,0.0352,0.9903,1009.80,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
34,0.0361,0.9936,1006.44,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
35,0.0374,1.2228,817.79,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
36,0.0384,1.0090,991.08,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
37,0.0395,0.9717,1029.13,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
38,0.0404,1.0970,911.58,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
39,0.0415,1.0367,964.60,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
40,0.0425,1.0183,982.03,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
41,0.0435,1.0219,978.57,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
42,0.0445,0.9764,1024.17,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
43,0.0454,0.9667,1034.45,61,61,39,214145,158205,1204,56975360,828550508,0.0000,-1.0000
44,0.0466,1.1141,897.58,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
45,0.0476,1.0168,983.48,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
46,0.0486,0.9904,1009.70,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
47,0.0495,0.9687,1032.31,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
48,0.0506,1.0701,934.49,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
49,0.0518,1.1695,855.07,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
50,0.0529,1.0619,941.70,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
51,0.0541,1.2072,828.36,61,61,39,214146,158205,1204,56975360,828550508,0.0000,-1.0000
