frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0009,1.1413,876.20,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
1,0.0020,1.1189,893.73,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
2,0.0032,1.1481,871.00,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
3,0.0043,1.1017,907.69,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
4,0.0054,1.1193,893.41,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
5,0.0065,1.1306,884.49,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
6,0.0077,1.1281,886.44,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
7,0.0089,1.1906,839.92,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
8,0.0102,1.2864,777.36,70,70,43,137304,94635,1236,38936576,810589264,0.0000,-1.0000
9,0.0113,1.1747,851.28,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
10,0.0126,1.1527,867.53,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
11,0.0139,1.3871,720.93,69,69,43,137303,94632,1204,38936576,810507344,0.0000,-1.0000
12,0.0152,1.3025,767.75,70,70,43,137304,94635,1204,38936576,810441808,0.0000,-1.0000
13,0.0167,1.5107,661.94,70,70,43,137304,94635,1204,38936576,810441808,0.0000,-1.0000
14,0.0179,1.2336,810.63,70,70,43,137304,94635,1236,38936576,810523728,0.0000,-1.0000
15,0.0192,1.3292,752.34,70,69,43,137292,94632,1236,38936576,810589264,0.0000,-1.0000
16,0.0205,1.2507,799.55,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
17,0.0216,1.1415,876.04,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
18,0.0228,1.1377,878.97,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
19,0.0240,1.1954,836.54,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
20,0.0255,1.3669,731.58,70,70,43,137304,94635,1236,38936576,810507344,0.0000,-1.0000
21,0.0280,2.6059,383.75,70,70,43,137304,94635,1940,38936576,810425424,0.0000,-1.0000
22,0.0292,1.2902,775.07,70,70,43,137304,94635,1204,38936576,810323280,0.0000,-1.0000
23,0.0304,1.1597,862.29,70,70,43,137304,94635,1204,38936576,810405200,0.0000,-1.0000
24,0.0315,1.1439,874.20,70,70,43,137304,94635,1204,38936576,810487120,0.0000,-1.0000
25,0.0328,1.1258,888.26,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
26,0.0340,1.3426,744.82,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
27,0.0352,1.1557,865.28,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
28,0.0363,1.1510,868.81,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
29,0.0375,1.1402,877.04,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
30,0.0388,1.2985,770.12,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
31,0.0399,1.1920,838.93,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
32,0.0412,1.2327,811.23,70,70,43,137304,94635,1204,38936576,810458192,0.0000,-1.0000
33,0.0425,1.3213,756.83,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
34,0.0437,1.2263,815.46,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
35,0.0449,1.1927,838.43,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
36,0.0462,1.2584,794.66,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
37,0.0474,1.2605,793.34,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
38,0.0487,1.2603,793.46,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
39,0.0500,1.2569,795.61,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
40,0.0512,1.2533,797.89,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
41,0.0526,1.2074,828.23,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
42,0.0538,1.4108,708.82,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
43,0.0551,1.2537,797.64,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
44,0.0568,1.3494,741.07,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
45,0.0580,1.6067,622.40,70,70,43,137304,94635,1940,38936576,810507344,0.0000,-1.0000
46,0.0593,1.2355,809.39,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
47,0.0605,1.2344,810.11,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
48,0.0617,1.1897,840.55,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
49,0.0629,1.1749,851.14,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
50,0.0641,1.1853,843.67,70,70,43,137304,94635,1204,38936576,810487120,0.0000,-1.0000
51,0.0653,1.2135,824.06,70,70,43,137304,94635,1204,38936576,810487120,0.0000,-1.0000
52,0.0665,1.1700,854.70,70,70,43,137304,94635,1204,38936576,810487120,0.0000,-1.0000
53,0.0677,1.2575,795.23,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
54,0.0690,1.2498,800.13,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
55,0.0702,1.2584,794.66,70,70,43,137304,94635,1204,38936576,810441808,0.0000,-1.0000
56,0.0714,1.2151,822.98,70,70,43,137304,94635,1204,38936576,810441808,0.0000,-1.0000
57,0.0731,1.4931,669.75,70,68,43,133639,89824,1204,38936576,810507344,0.0000,-1.0000
58,0.0746,1.6392,610.06,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
59,0.0760,1.4562,686.72,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
60,0.0773,1.3162,759.76,70,70,43,137304,94635,1204,38936576,810441808,0.0000,-1.0000
61,0.0786,1.2390,807.11,69,69,43,137303,94632,1204,38936576,810523728,0.0000,-1.0000
62,0.0800,1.3867,721.14,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
63,0.0812,1.2478,801.41,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
64,0.0824,1.1934,837.95,70,70,43,137304,94635,1204,38936576,810589264,0.0000,-1.0000
65,0.0838,1.3744,727.59,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
66,0.0851,1.2960,771.61,70,70,43,137304,94635,1204,38936576,810523728,0.0000,-1.0000
67,0.0864,1.3097,763.53,69,69,43,137303,94632,1204,38936576,810523728,0.0000,-1.0000
68,0.0878,1.3380,747.38,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
69,0.0894,1.4865,672.72,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
70,0.0907,1.5042,664.81,70,70,43,137304,94635,1940,38936576,810425424,0.0000,-1.0000
71,0.0921,1.3877,720.61,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
72,0.0935,1.3048,766.40,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
73,0.0947,1.3302,751.77,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
74,0.0960,1.2779,782.54,70,70,43,137304,94635,1204,38936576,810507344,0.0000,-1.0000
