frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0011,1.1214,891.74,69,69,42,120028,78702,1238,45858816,876652916,0.0000,-1.0000
1,0.0022,1.1428,875.04,69,69,42,120028,78702,1238,45858816,876652916,0.0000,-1.0000
2,0.0036,1.1831,845.24,69,69,42,120028,78702,1238,45858816,876652916,0.0000,-1.0000
3,0.0048,1.3851,721.97,69,69,42,120028,78702,1238,45858816,876734836,0.0000,-1.0000
4,0.0062,1.2180,821.02,69,69,42,120028,78702,1238,45858816,876734836,0.0000,-1.0000
5,0.0074,1.3630,733.68,69,69,42,120028,78702,1606,45858816,876734836,0.0000,-1.0000
6,0.0085,1.1469,871.91,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
7,0.0096,1.1338,881.99,69,68,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
8,0.0108,1.1218,891.43,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
9,0.0119,1.1586,863.11,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
10,0.0131,1.1226,890.79,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
11,0.0143,1.1535,866.93,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
12,0.0154,1.2126,824.67,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
13,0.0166,1.1904,840.06,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
14,0.0178,1.1777,849.11,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
15,0.0189,1.1314,883.86,69,69,42,120028,78702,1238,45858816,876787876,0.0000,-1.0000
16,0.0201,1.1661,857.56,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
17,0.0213,1.2435,804.19,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
18,0.0227,1.3592,735.72,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
19,0.0240,1.1727,852.74,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
20,0.0253,1.3884,720.25,69,69,42,120028,78702,1270,45858816,876771492,0.0000,-1.0000
21,0.0264,1.1768,849.76,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
22,0.0276,1.1409,876.50,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
23,0.0287,1.1803,847.24,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
24,0.0299,1.1574,864.01,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
25,0.0310,1.1451,873.28,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
26,0.0322,1.1471,871.77,69,69,42,120028,78702,1270,45858816,876853412,0.0000,-1.0000
27,0.0333,1.1377,878.96,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
28,0.0345,1.1538,866.70,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
29,0.0356,1.1626,860.14,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
30,0.0368,1.1614,861.03,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
31,0.0383,1.2929,773.46,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
32,0.0396,1.4323,698.18,69,69,42,120028,78702,1606,45858816,876771492,0.0000,-1.0000
33,0.0407,1.1904,840.06,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
34,0.0419,1.1402,877.04,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
35,0.0430,1.1309,884.25,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
36,0.0446,1.4095,709.47,69,69,42,120028,78702,1238,45858816,876734836,0.0000,-1.0000
37,0.0458,1.3514,739.98,69,69,42,120028,78702,1238,45858816,876734836,0.0000,-1.0000
38,0.0469,1.1391,877.88,69,69,42,120028,78702,1238,45858816,876734836,0.0000,-1.0000
39,0.0480,1.1410,876.42,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
40,0.0492,1.1563,864.83,69,69,42,120028,78702,1270,45858816,876853412,0.0000,-1.0000
41,0.0504,1.1423,875.43,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
42,0.0515,1.1384,878.43,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
43,0.0527,1.1716,853.53,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
44,0.0540,1.2838,778.94,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
45,0.0552,1.2709,786.84,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
46,0.0564,1.1596,862.37,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
47,0.0575,1.1534,867.00,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
48,0.0587,1.1376,879.04,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
49,0.0598,1.1047,905.22,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
50,0.0610,1.2663,789.70,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
51,0.0621,1.1177,894.69,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
52,0.0634,1.1212,891.91,69,69,42,120028,78702,1238,45858816,876705956,0.0000,-1.0000
53,0.0646,1.3708,729.50,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
54,0.0658,1.1573,864.08,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
55,0.0670,1.1508,868.96,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
56,0.0681,1.1338,881.99,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
57,0.0693,1.2299,813.08,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
58,0.0706,1.1770,849.62,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
59,0.0718,1.3200,757.57,69,69,42,120028,78702,1606,45858816,876787876,0.0000,-1.0000
60,0.0730,1.1737,852.01,69,69,42,120028,78702,1238,45858816,876787876,0.0000,-1.0000
61,0.0741,1.1408,876.58,69,69,42,120028,78702,1238,45858816,876787876,0.0000,-1.0000
62,0.0753,1.1408,876.58,68,68,42,120016,78678,1238,45858816,876853412,0.0000,-1.0000
63,0.0764,1.1319,883.47,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
64,0.0775,1.1163,895.82,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
65,0.0787,1.1613,861.11,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
66,0.0798,1.1329,882.69,69,69,42,120028,78702,1238,45858816,876853412,0.0000,-1.0000
67,0.0809,1.1150,896.86,69,69,42,120028,78702,1238,45858816,876705956,0.0000,-1.0000
68,0.0820,1.1298,885.11,69,69,42,120028,78702,1238,45858816,876787876,0.0000,-1.0000
69,0.0832,1.1063,903.91,69,69,42,120028,78702,1238,45858816,876624036,0.0000,-1.0000
70,0.0844,1.1373,879.28,69,69,42,120028,78702,1238,45858816,876771492,0.0000,-1.0000
