항목,값
라벨,run
측정 시각,2026-09-22 13:18:14
품질 레벨,PC
해상도,1920x1080
수직 동기화,0
목표 프레임,-1
개발 빌드,True
그래픽 API,Direct3D12
GPU,NVIDIA GeForce RTX 5070 Ti
CPU,AMD Ryzen 7 5700X 8-Core Processor 
시스템 메모리 MB,49076
유니티 버전,6000.3.23f1
표본 수,22884
예열 초,5
측정 초,30

평균 FPS,762.79
중앙 FPS,811.56
평균 프레임 시간 ms,1.311
중앙 프레임 시간 ms,1.232
95퍼센타일 프레임 시간 ms,1.754
99퍼센타일 프레임 시간 ms,2.181
최소 프레임 시간 ms,1.048
최대 프레임 시간 ms,9.852

평균 드로우콜,70.4
평균 배치,70.4
평균 SetPass 호출,40.8
평균 삼각형 수,155149
평균 정점 수,112468

프레임당 GC 할당 바이트 평균,1380.3
GC 예약 메모리 최대 MB,37.13
전체 예약 메모리 최대 MB,787.20

조명 합성 패스 평균 ms,0.0000
조명 합성 패스 중앙 ms,0.0000
조명 합성 패스 최대 ms,0.0000
화면 복사 패스 ms,수집 실패 (마커 없음)
