frame,time_s,frame_ms,fps,draw_calls,batches,setpass_calls,triangles,vertices,gc_alloc_bytes,gc_reserved_bytes,total_reserved_bytes,flashlight_pass_ms,blit_pass_ms
0,0.0001,1.1225,890.87,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
1,0.0015,1.4454,691.85,60,60,37,128155,87740,1238,15077376,786707512,0.0120,-1.0000
2,0.0026,1.1278,886.68,60,60,37,128155,87740,1238,15077376,786707512,0.0120,-1.0000
3,0.0038,1.1573,864.08,60,60,37,128155,87740,1238,15077376,786707512,0.0120,-1.0000
4,0.0053,1.3121,762.14,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
5,0.0066,1.4484,690.42,60,60,37,128155,87740,1606,15077376,786790824,0.0120,-1.0000
6,0.0077,1.1513,868.58,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
7,0.0090,1.1481,871.00,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
8,0.0102,1.2974,770.77,60,60,37,128155,87740,1238,15077376,786725288,0.0120,-1.0000
9,0.0113,1.1714,853.68,60,60,37,128155,87740,1238,15077376,786725288,0.0120,-1.0000
10,0.0125,1.1510,868.81,60,60,37,128155,87740,1238,15077376,786725288,0.0120,-1.0000
11,0.0137,1.1722,853.10,60,60,37,128155,87740,1270,15077376,786708904,0.0120,-1.0000
12,0.0149,1.2263,815.46,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
13,0.0161,1.2076,828.09,60,60,37,128155,87740,1238,15077376,786790824,0.0120,-1.0000
14,0.0173,1.1905,839.99,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
15,0.0184,1.1189,893.74,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
16,0.0196,1.1685,855.80,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
17,0.0207,1.1241,889.60,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
18,0.0218,1.0981,910.66,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
19,0.0229,1.1252,888.73,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
20,0.0241,1.1584,863.26,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
21,0.0252,1.1709,854.04,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
22,0.0264,1.1140,897.66,59,59,37,127875,87260,1238,15077376,786708904,0.0120,-1.0000
23,0.0275,1.1399,877.27,59,59,37,127875,87260,1270,15077376,786708904,0.0120,-1.0000
24,0.0288,1.1400,877.19,59,59,37,127875,87260,1270,15077376,786790824,0.0120,-1.0000
25,0.0300,1.3624,734.00,59,59,37,127875,87260,1238,15077376,786708904,0.0120,-1.0000
26,0.0312,1.1883,841.54,59,59,37,127875,87260,1238,15077376,786708904,0.0120,-1.0000
27,0.0323,1.1212,891.90,59,59,37,127875,87260,1238,15077376,786708904,0.0120,-1.0000
28,0.0334,1.1008,908.44,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
29,0.0347,1.2549,796.87,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
30,0.0361,1.2797,781.43,59,59,37,127875,87260,1238,15077376,786790824,0.0120,-1.0000
31,0.0373,1.3538,738.66,59,59,37,127875,87260,1606,15077376,786708904,0.0120,-1.0000
32,0.0384,1.1384,878.43,59,59,37,127875,87260,1238,15077376,786708904,0.0120,-1.0000
